time_s,L1_heel,L2_lateral_forefoot,L3_medial_forefoot,R1_heel,R2_lateral_forefoot,R3_medial_forefoot,L_ax,L_ay,L_az,L_gx,L_gy,L_gz,R_ax,R_ay,R_az,R_gx,R_gy,R_gz
1.61,5.239,1.311,0.757,0.0,0.214,1.308,0.0428,0.0295,1.0,-33.37,-1.03,0.87,0.1779,-0.0,0.9766,8.74,0.71,-240.82
1.62,4.945,1.181,0.569,0.0,0.356,1.487,0.0465,0.0191,0.99,-34.56,-0.12,-1.25,0.1401,0.0039,0.9935,9.38,0.24,-244.81
1.63,4.64,1.048,0.38,0.0,0.497,1.662,0.0267,0.0022,1.0019,-33.21,0.31,-1.53,0.0813,-0.0015,0.9995,10.5,0.06,-248.01
1.64,4.325,0.913,0.19,0.0,0.638,1.833,0.0445,0.0179,0.9904,-33.97,-0.66,1.58,0.0539,-0.0253,1.0005,10.55,1.56,-249.01
1.65,4.0,0.776,0.0,0.0,0.776,2.0,0.039,-0.0016,0.9953,-34.24,-0.24,-0.61,0.0076,0.0002,0.997,22.09,0.66,-23.78
1.66,3.666,0.638,0.0,0.381,0.913,2.163,0.0431,-0.0063,0.9894,-35.17,-0.94,1.14,0.0522,0.0183,1.0087,34.83,-0.69,99.65
1.67,3.323,0.497,0.0,0.76,1.048,2.32,0.0539,-0.0213,1.0058,-32.73,1.12,-0.15,0.0302,0.0172,1.0,33.0,-0.09,-2.25
1.68,2.973,0.356,0.0,1.139,1.181,2.473,0.0324,-0.0223,1.0078,-33.09,-0.29,-0.16,0.022,0.0223,1.0063,34.36,-0.08,-0.19
1.69,2.617,0.214,0.0,1.514,1.311,2.619,0.0274,-0.0326,0.9968,-33.92,1.45,0.44,0.0298,0.0065,0.9814,33.84,0.08,-0.16
1.7,2.254,0.071,0.0,1.886,1.438,2.76,0.026,-0.0312,0.9993,-31.86,1.53,-0.88,0.037,0.0223,0.9597,33.24,2.52,-0.22
1.71,1.886,0.0,0.0,2.254,1.561,2.895,0.0267,-0.0181,0.9843,-32.76,-0.08,0.13,0.0355,0.0393,1.0016,32.08,0.37,-0.63
1.72,1.514,0.0,0.0,2.617,1.682,3.023,0.0341,-0.0545,0.9956,-32.33,-1.01,-0.38,0.031,0.0449,0.9843,33.38,-2.04,0.22
1.73,1.139,0.0,0.0,2.973,1.798,3.144,0.0383,-0.0623,0.9978,-31.5,-2.09,-1.32,0.0158,0.0583,0.9962,31.23,-0.54,0.07
1.74,0.76,0.0,0.0,3.323,1.91,3.258,0.0377,-0.0368,1.0243,-31.6,-1.47,0.34,0.0396,0.05,0.995,28.86,-1.93,-0.02
1.75,0.381,0.0,0.0,3.666,2.018,3.365,0.0432,-0.0587,0.9867,-28.34,-1.37,-0.26,0.0546,0.0606,1.0137,29.06,-0.33,0.41
1.76,0.0,0.0,0.0,4.0,2.121,3.464,0.035,-0.0682,1.0121,103.39,1.38,24.69,0.0395,0.0617,1.0015,28.46,-1.99,-0.43
1.77,0.0,0.0,0.0,4.325,2.22,3.555,0.0581,-0.0095,1.0088,114.25,0.12,147.84,0.041,0.0564,0.9989,25.93,-0.87,-0.49
1.78,0.0,0.0,0.0,4.64,2.313,3.639,0.0842,-0.0273,0.9988,-9.65,0.39,248.74,0.0406,0.0482,1.0053,26.33,-1.52,1.38
1.79,0.0,0.0,0.0,4.945,2.402,3.713,0.1567,-0.0043,1.0089,-7.25,-2.22,244.86,0.0389,0.0793,1.0003,24.25,0.38,0.56
1.8,0.0,0.0,0.0,5.239,2.484,3.78,0.1775,-0.017,0.9887,-6.88,-1.2,240.54,0.0442,0.0808,0.9917,20.09,0.0,0.83
1.81,0.0,0.0,0.0,5.521,2.562,3.838,0.2033,-0.0298,0.9809,-6.6,0.89,233.64,0.0389,0.0767,1.0067,21.22,0.3,1.23
1.82,0.0,0.0,0.0,5.79,2.633,3.887,0.2403,-0.0044,0.9671,-6.84,0.29,225.39,0.0318,0.0701,0.9846,18.93,-0.1,0.53
1.83,0.0,0.0,0.0,6.046,2.698,3.928,0.2934,-0.033,0.9693,-6.48,-0.15,221.1,0.0269,0.0959,0.9986,18.23,-1.39,0.93
1.84,0.0,0.0,0.0,6.288,2.758,3.959,0.3221,-0.0204,0.9566,-4.33,0.56,209.99,0.0324,0.0898,0.9796,16.93,0.51,-1.58
1.85,0.0,0.0,0.0,6.517,2.811,3.982,0.3651,-0.0256,0.9271,-4.82,1.64,199.14,0.038,0.1007,0.9969,14.42,1.92,0.2
1.86,0.0,0.0,0.0,6.73,2.858,3.995,0.3942,-0.0163,0.9075,-3.41,-0.22,189.12,0.0317,0.1161,0.9966,14.09,0.41,-0.18
1.87,0.0,0.0,0.0,6.928,2.898,4.0,0.4179,-0.0143,0.9057,-4.06,0.07,177.72,0.038,0.078,1.0112,10.41,-0.43,1.68
1.88,0.0,0.0,0.0,7.111,2.931,3.995,0.437,-0.0301,0.8869,-2.43,0.19,163.49,0.0393,0.0941,0.9786,9.33,-1.43,0.93
1.89,0.0,0.0,0.0,7.277,2.958,3.982,0.4546,-0.0383,0.8817,-0.74,2.39,150.91,0.0432,0.1004,0.9881,7.61,-0.91,-0.63
1.9,0.0,0.0,0.0,7.427,2.979,3.959,0.4871,-0.0265,0.8828,-0.88,-2.1,136.07,0.0477,0.118,1.0023,4.78,0.45,0.37
1.91,0.0,0.0,0.0,7.56,2.992,3.928,0.5194,-0.0381,0.8547,-1.29,0.68,118.59,0.0357,0.0878,0.9973,3.71,1.07,0.17
1.92,0.0,0.0,0.0,7.676,2.999,3.887,0.5296,-0.0113,0.8487,-0.04,-0.11,103.05,0.0218,0.1238,0.9957,0.38,0.26,0.45
1.93,0.0,0.0,0.0,7.774,2.999,3.838,0.5292,-0.03,0.8408,0.05,0.57,88.21,0.0314,0.1058,0.9844,-1.4,0.8,-1.02
1.94,0.0,0.0,0.0,7.855,2.992,3.78,0.5549,-0.0349,0.8412,0.89,-0.66,67.63,0.0353,0.1032,0.988,-4.24,0.71,0.36
1.95,0.0,0.0,0.0,7.919,2.979,3.713,0.5659,-0.0292,0.8042,1.14,-0.05,52.93,0.0165,0.1015,1.0065,-4.63,0.51,-0.23
1.96,0.0,0.0,0.0,7.964,2.958,3.639,0.5596,-0.0443,0.8162,1.88,0.71,34.1,0.0488,0.0981,0.9936,-6.48,-0.66,0.28
1.97,0.0,0.0,0.0,7.991,2.931,3.555,0.5738,-0.0401,0.8218,2.82,3.11,17.34,0.0363,0.1116,0.998,-7.53,0.17,-0.72
1.98,0.0,0.0,0.0,8.0,2.898,3.464,0.5742,-0.0179,0.8308,2.18,0.81,-0.3,0.0387,0.0887,0.9933,-9.79,-0.85,-0.59
1.99,0.0,0.0,0.0,7.991,2.858,3.365,0.5609,-0.0358,0.8148,2.71,-0.85,-18.17,0.0486,0.1009,0.9828,-12.71,0.02,1.17
2.0,0.0,0.0,0.0,7.964,2.811,3.258,0.572,-0.039,0.8036,2.88,-0.42,-36.09,0.0286,0.0913,1.0042,-15.41,0.33,-1.05
2.01,0.0,0.0,0.0,7.919,2.758,3.144,0.5677,-0.0224,0.833,3.2,-0.45,-54.17,0.0406,0.0849,1.0001,-15.55,1.68,-0.98
2.02,0.0,0.0,0.0,7.855,2.698,3.023,0.564,-0.015,0.8264,4.09,-1.8,-68.05,0.0338,0.1154,1.0184,-16.58,-1.31,-0.05
2.03,0.0,0.0,0.0,7.774,2.633,2.895,0.5521,-0.0187,0.8285,5.96,-0.33,-85.39,0.0331,0.0905,0.9855,-18.58,0.48,-0.77
2.04,0.0,0.0,0.0,7.676,2.562,2.76,0.5137,-0.0149,0.843,5.38,0.73,-104.89,0.0272,0.089,1.0042,-19.83,1.48,-0.89
2.05,0.0,0.0,0.0,7.56,2.484,2.619,0.5014,-0.0313,0.8576,7.24,-1.27,-118.08,0.0516,0.0904,0.9831,-22.64,0.76,0.11
2.06,0.0,0.0,0.0,7.427,2.402,2.473,0.4967,-0.0367,0.8646,7.2,1.05,-135.39,0.0311,0.0608,0.9981,-24.34,0.83,-1.51
2.07,0.0,0.0,0.0,7.277,2.313,2.32,0.4749,-0.0062,0.8605,5.6,0.49,-149.5,0.0419,0.0883,1.0067,-25.97,0.59,-1.01
2.08,0.0,0.0,0.0,7.111,2.22,2.163,0.4506,-0.0231,0.9041,8.61,-0.73,-163.57,0.0161,0.0412,0.9765,-26.57,1.3,2.05
2.09,0.0,0.0,0.0,6.928,2.121,2.0,0.4572,-0.021,0.9207,9.12,-0.14,-177.22,0.0467,0.0538,0.9954,-27.79,-1.09,0.46
2.1,0.0,0.0,0.19,6.73,2.018,1.833,0.3952,-0.0037,0.9274,7.65,1.6,-187.72,0.0454,0.052,0.9922,-28.61,-1.39,-0.75
2.11,0.0,0.0,0.38,6.517,1.91,1.662,0.3693,-0.0099,0.9223,9.37,0.73,-199.76,0.0359,0.0573,0.991,-29.96,-0.01,0.42
2.12,0.0,0.0,0.569,6.288,1.798,1.487,0.3338,-0.0093,0.9439,8.37,0.01,-210.53,0.0326,0.0484,1.0022,-30.87,-2.16,0.57
2.13,0.0,0.0,0.757,6.046,1.682,1.308,0.2951,0.0094,0.9573,9.56,-0.24,-220.45,0.0389,0.0391,1.0098,-32.33,1.23,0.99
2.14,0.0,0.0,0.943,5.79,1.561,1.127,0.2479,-0.017,0.9739,8.41,0.08,-228.02,0.0578,0.0351,0.9974,-31.32,1.22,-0.13
2.15,0.0,0.071,1.127,5.521,1.438,0.943,0.2194,0.0004,0.9839,8.07,-0.51,-235.59,0.0173,0.0197,1.001,-32.79,-0.43,0.98
2.16,0.0,0.214,1.308,5.239,1.311,0.757,0.1635,-0.0065,0.9779,9.63,-2.1,-239.56,0.0427,0.0087,1.0003,-33.54,-0.37,-2.04
2.17,0.0,0.356,1.487,4.945,1.181,0.569,0.1271,-0.0027,0.9924,10.0,2.04,-245.18,0.0258,0.0251,0.9992,-34.5,-0.07,-1.06
2.18,0.0,0.497,1.662,4.64,1.048,0.38,0.082,0.0117,1.0008,9.81,0.16,-247.41,0.0347,0.0189,0.9884,-35.36,0.05,0.16
2.19,0.0,0.638,1.833,4.325,0.913,0.19,0.0444,0.0033,1.0136,9.08,0.4,-147.68,0.0324,0.0218,1.0105,-32.89,0.13,0.33
2.2,0.0,0.776,2.0,4.0,0.776,0.0,0.058,0.0054,1.0064,21.86,-0.06,-23.64,0.0306,-0.0079,1.0023,-33.7,0.56,-0.91
2.21,0.381,0.913,2.163,3.666,0.638,0.0,0.0162,0.0167,1.0073,34.47,-0.74,-0.03,0.0348,0.0009,1.0033,-35.82,-0.17,0.26
2.22,0.76,1.048,2.32,3.323,0.497,0.0,0.0418,0.0083,1.0002,33.99,-0.19,-0.09,0.0236,-0.0148,0.9913,-33.27,0.94,-0.62
2.23,1.139,1.181,2.473,2.973,0.356,0.0,0.0188,0.0095,1.0133,33.93,-1.6,1.88,0.0452,-0.006,0.9946,-32.83,0.45,-0.28
2.24,1.514,1.311,2.619,2.617,0.214,0.0,0.0302,0.0133,1.0032,32.69,2.28,0.52,0.017,-0.0135,0.9973,-33.24,-0.61,1.02
2.25,1.886,1.438,2.76,2.254,0.071,0.0,0.0458,0.0098,0.9903,34.04,-1.23,-0.33,0.0403,-0.0274,0.9836,-31.27,1.34,0.91
2.26,2.254,1.561,2.895,1.886,0.0,0.0,0.0355,0.0557,1.0128,31.09,-1.03,-1.43,0.0316,-0.0386,0.9819,-32.04,-1.36,-1.0
2.27,2.617,1.682,3.023,1.514,0.0,0.0,0.0241,0.0297,1.0055,32.04,-0.44,0.39,0.0232,-0.0311,0.9926,-32.97,-0.09,-1.06
2.28,2.973,1.798,3.144,1.139,0.0,0.0,0.0277,0.044,0.9939,31.92,1.29,0.83,0.0369,-0.0397,1.0035,-30.37,0.97,-0.41
2.29,3.323,1.91,3.258,0.76,0.0,0.0,0.0417,0.0487,0.9933,30.31,0.01,-0.63,0.0193,-0.0583,0.9915,-29.58,-0.72,-0.03
2.3,3.666,2.018,3.365,0.381,0.0,0.0,0.0276,0.0597,1.0008,28.61,-1.24,0.29,0.0353,-0.0699,0.9876,-29.42,0.31,-0.66
2.31,4.0,2.121,3.464,0.0,0.0,0.0,0.0371,0.0697,1.0021,27.18,1.25,-0.36,0.0207,-0.0644,0.9894,105.79,0.54,25.88
2.32,4.325,2.22,3.555,0.0,0.0,0.0,0.0354,0.0748,0.9992,27.55,0.73,-0.18,0.0482,-0.0047,0.9943,113.81,-0.86,149.4
2.33,4.64,2.313,3.639,0.0,0.0,0.0,0.0284,0.0649,1.0,23.81,0.54,-2.49,0.0776,-0.0098,0.9925,-6.58,-0.07,247.55
2.34,4.945,2.402,3.713,0.0,0.0,0.0,0.0563,0.0734,1.0136,22.9,0.72,-0.22,0.125,-0.0337,1.013,-8.04,-0.16,242.71
2.35,5.239,2.484,3.78,0.0,0.0,0.0,0.0412,0.0819,1.007,22.03,2.39,0.97,0.1742,-0.0354,0.9955,-7.71,-0.55,240.74
2.36,5.521,2.562,3.838,0.0,0.0,0.0,0.0146,0.0803,0.9979,22.15,2.19,-0.63,0.2041,-0.0121,0.9872,-6.39,2.3,231.12
2.37,5.79,2.633,3.887,0.0,0.0,0.0,0.0368,0.1024,1.0051,19.71,-0.69,0.05,0.2505,-0.0373,0.9793,-5.37,-0.76,227.96
2.38,6.046,2.698,3.928,0.0,0.0,0.0,0.0283,0.0945,0.985,16.72,1.62,-0.76,0.2735,-0.0218,0.9471,-5.14,1.0,220.08
2.39,6.288,2.758,3.959,0.0,0.0,0.0,0.0434,0.0998,0.9991,15.67,0.38,0.36,0.3306,-0.0339,0.9334,-5.54,-0.39,209.62
2.4,6.517,2.811,3.982,0.0,0.0,0.0,0.027,0.1017,1.013,13.62,0.5,-0.22,0.3756,-0.0124,0.9223,-4.77,-1.09,201.16
2.41,6.73,2.858,3.995,0.0,0.0,0.0,0.0338,0.1092,0.9925,11.72,-1.69,-0.94,0.4174,-0.037,0.934,-4.86,0.1,188.64
2.42,6.928,2.898,4.0,0.0,0.0,0.0,0.0399,0.1012,0.986,11.56,-0.17,1.33,0.4196,-0.0184,0.9023,-3.4,0.65,176.62
2.43,7.111,2.931,3.995,0.0,0.0,0.0,0.0436,0.0881,0.9877,7.34,-0.81,0.93,0.4533,-0.0285,0.8824,-1.54,0.92,163.85
2.44,7.277,2.958,3.982,0.0,0.0,0.0,0.0229,0.1065,0.9832,8.41,0.83,-0.6,0.452,-0.0283,0.8781,-2.04,1.56,152.82
2.45,7.427,2.979,3.959,0.0,0.0,0.0,0.0316,0.097,0.9862,5.7,1.07,0.5,0.5066,-0.0508,0.868,-0.6,2.95,136.34
2.46,7.56,2.992,3.928,0.0,0.0,0.0,0.0302,0.0989,0.9903,4.02,-2.07,0.54,0.5186,-0.0533,0.8619,0.58,0.25,120.36
2.47,7.676,2.999,3.887,0.0,0.0,0.0,0.0284,0.1103,0.9799,0.52,-0.02,0.64,0.5227,-0.0336,0.8516,-0.88,-0.66,102.81
2.48,7.774,2.999,3.838,0.0,0.0,0.0,0.0526,0.1169,0.9941,-1.13,1.12,-1.69,0.554,-0.0289,0.8319,0.11,0.45,87.4
2.49,7.855,2.992,3.78,0.0,0.0,0.0,0.0389,0.1044,1.003,-4.36,-0.19,1.01,0.5506,-0.0425,0.8395,3.05,-0.27,69.53
2.5,7.919,2.979,3.713,0.0,0.0,0.0,0.0223,0.1066,0.9849,-5.4,0.73,-0.57,0.5575,-0.042,0.8203,2.91,0.93,53.9
2.51,7.964,2.958,3.639,0.0,0.0,0.0,0.0441,0.1195,1.0093,-6.31,0.35,-0.36,0.5732,-0.0252,0.8207,0.37,-1.3,35.67
2.52,7.991,2.931,3.555,0.0,0.0,0.0,0.0561,0.1035,0.9994,-7.41,0.34,2.64,0.5617,-0.0248,0.8265,3.0,2.37,16.69
2.53,8.0,2.898,3.464,0.0,0.0,0.0,0.0452,0.1254,1.0047,-11.69,-0.27,0.3,0.5838,-0.0313,0.8124,3.18,0.86,0.08
2.54,7.991,2.858,3.365,0.0,0.0,0.0,0.0197,0.1031,0.9881,-12.79,-1.22,-0.39,0.5617,-0.0215,0.814,4.55,-1.68,-18.66
2.55,7.964,2.811,3.258,0.0,0.0,0.0,0.0301,0.0775,1.0034,-14.38,-1.12,-2.21,0.558,-0.0403,0.8283,3.52,-0.71,-35.38
2.56,7.919,2.758,3.144,0.0,0.0,0.0,0.0476,0.1,0.9842,-17.38,0.71,1.39,0.553,-0.0313,0.8182,3.96,0.82,-53.93
2.57,7.855,2.698,3.023,0.0,0.0,0.0,0.0278,0.0934,1.0043,-17.1,0.02,-1.35,0.5607,-0.0104,0.8289,4.63,1.18,-70.32
2.58,7.774,2.633,2.895,0.0,0.0,0.0,0.0393,0.0992,0.9974,-20.06,-0.14,-1.0,0.5354,-0.0252,0.8459,5.23,-1.27,-86.51
2.59,7.676,2.562,2.76,0.0,0.0,0.0,0.0426,0.0896,1.0015,-21.11,-0.42,-0.33,0.514,-0.0236,0.8698,7.09,0.71,-103.78
2.6,7.56,2.484,2.619,0.0,0.0,0.0,0.0256,0.0777,0.9845,-22.88,-0.31,1.42,0.5048,-0.0007,0.8655,5.55,-1.95,-120.05
2.61,7.427,2.402,2.473,0.0,0.0,0.0,0.0343,0.0628,0.9876,-24.66,1.05,0.77,0.4913,-0.0365,0.8753,6.54,-0.09,-134.79
2.62,7.277,2.313,2.32,0.0,0.0,0.0,0.0025,0.0687,1.0029,-25.24,-0.34,-0.16,0.458,-0.0133,0.8879,5.78,1.11,-148.93
2.63,7.111,2.22,2.163,0.0,0.0,0.0,0.0247,0.0577,0.9877,-26.73,-1.34,0.31,0.4339,-0.0032,0.8844,8.96,-0.55,-164.62
2.64,6.928,2.121,2.0,0.0,0.0,0.0,0.0324,0.0557,1.0021,-28.08,0.74,-0.6,0.4398,-0.0217,0.9092,9.58,-1.51,-176.29
2.65,6.73,2.018,1.833,0.0,0.0,0.19,0.0224,0.0625,0.9841,-29.54,-0.2,0.14,0.3808,-0.0084,0.9206,8.32,0.15,-187.38
2.66,6.517,1.91,1.662,0.0,0.0,0.38,0.0512,0.0682,1.0065,-29.51,0.03,0.07,0.3547,-0.0253,0.9368,8.65,-0.6,-199.31
2.67,6.288,1.798,1.487,0.0,0.0,0.569,0.0206,0.0501,0.986,-29.09,1.61,0.97,0.3206,-0.0207,0.947,9.67,0.63,-209.99
2.68,6.046,1.682,1.308,0.0,0.0,0.757,0.0305,0.0288,1.0041,-31.41,-0.02,0.97,0.2844,-0.0084,0.9612,10.94,-0.89,-218.51
2.69,5.79,1.561,1.127,0.0,0.0,0.943,0.0362,0.0396,1.005,-31.27,0.29,0.49,0.2573,-0.0026,0.9648,10.09,-0.77,-226.67
2.7,5.521,1.438,0.943,0.0,0.071,1.127,0.0493,0.0415,0.992,-34.26,-1.18,-0.36,0.2213,0.0024,0.9778,9.16,-2.02,-233.19
2.71,5.239,1.311,0.757,0.0,0.214,1.308,0.0205,0.0176,1.0049,-33.21,-0.22,0.74,0.1682,0.0086,0.9729,8.39,0.17,-241.6
2.72,4.945,1.181,0.569,0.0,0.356,1.487,0.0465,0.0165,1.0018,-34.85,0.61,-0.09,0.1171,-0.006,0.9884,9.01,-0.16,-245.53
2.73,4.64,1.048,0.38,0.0,0.497,1.662,0.035,0.0121,0.9939,-35.51,-1.56,-1.08,0.0996,0.0084,1.0101,10.28,-1.19,-246.14
2.74,4.325,0.913,0.19,0.0,0.638,1.833,0.0251,-0.0019,0.9893,-34.94,0.2,-0.4,0.0426,-0.0052,1.0022,9.6,0.19,-250.56
2.75,4.0,0.776,0.0,0.0,0.776,2.0,0.0395,0.0065,0.9798,-33.06,0.1,0.08,0.0173,0.009,0.9998,22.46,1.03,-24.44
2.76,3.666,0.638,0.0,0.381,0.913,2.163,0.0369,-0.0072,1.0029,-33.25,0.04,0.91,0.0124,0.0081,1.0183,33.64,-0.22,99.65
2.77,3.323,0.497,0.0,0.76,1.048,2.32,0.0289,-0.0077,0.9837,-33.79,1.04,-0.18,0.0369,0.0164,0.9857,32.97,0.27,-1.0
2.78,2.973,0.356,0.0,1.139,1.181,2.473,0.0356,-0.0267,1.0002,-35.28,0.33,-1.21,0.0541,0.0221,0.9881,32.57,0.27,0.35
2.79,2.617,0.214,0.0,1.514,1.311,2.619,0.031,-0.0281,0.9965,-33.56,1.48,0.06,0.0314,0.0077,1.0162,34.93,-1.2,0.2
2.8,2.254,0.071,0.0,1.886,1.438,2.76,0.036,-0.0223,1.0057,-32.56,-0.99,0.11,0.0326,0.0183,0.9994,33.75,2.06,2.11
2.81,1.886,0.0,0.0,2.254,1.561,2.895,0.0415,-0.0389,0.9958,-32.09,0.14,0.19,0.0379,0.0362,0.9963,33.99,-0.47,-0.62
2.82,1.514,0.0,0.0,2.617,1.682,3.023,0.0508,-0.0235,0.9953,-33.4,0.08,0.92,0.0293,0.0239,0.9866,32.09,0.66,1.44
2.83,1.139,0.0,0.0,2.973,1.798,3.144,0.0225,-0.0502,1.0056,-31.63,-1.07,1.02,0.0318,0.0545,1.0028,30.31,0.77,0.35
2.84,0.76,0.0,0.0,3.323,1.91,3.258,0.0562,-0.0492,1.0014,-29.89,0.96,-0.59,0.0315,0.0602,1.0035,31.15,-0.14,-0.66
2.85,0.381,0.0,0.0,3.666,2.018,3.365,0.0154,-0.0473,1.001,-28.28,2.32,-0.62,0.0286,0.0599,0.9868,28.78,0.61,0.8
2.86,0.0,0.0,0.0,4.0,2.121,3.464,0.0334,-0.0757,1.0022,103.02,-0.02,23.8,0.0472,0.0503,0.9961,27.93,0.25,0.57
2.87,0.0,0.0,0.0,4.325,2.22,3.555,0.0494,-0.0375,0.9835,115.32,0.51,149.75,0.0395,0.08,0.9938,26.47,-1.42,0.04
2.88,0.0,0.0,0.0,4.64,2.313,3.639,0.0896,-0.0365,1.0036,-7.43,0.08,248.59,0.0374,0.0911,0.9994,22.29,-0.33,0.27
2.89,0.0,0.0,0.0,4.945,2.402,3.713,0.1233,-0.0099,0.9975,-6.31,-0.71,243.67,0.043,0.0765,0.9854,25.48,-0.61,-0.6
2.9,0.0,0.0,0.0,5.239,2.484,3.78,0.1692,-0.0293,0.9748,-6.04,-1.82,239.33,0.0323,0.0842,1.0088,22.92,-0.46,-0.83
2.91,0.0,0.0,0.0,5.521,2.562,3.838,0.2069,0.0007,0.9746,-5.69,-0.71,235.41,0.0272,0.0849,1.0051,21.25,-1.3,0.76
2.92,0.0,0.0,0.0,5.79,2.633,3.887,0.2452,-0.0316,0.9673,-6.6,-1.39,227.63,0.0289,0.0916,0.992,19.27,1.13,-0.22
2.93,0.0,0.0,0.0,6.046,2.698,3.928,0.2971,-0.0251,0.9558,-7.21,1.7,219.58,0.0349,0.0884,0.9932,17.85,1.6,-0.08
2.94,0.0,0.0,0.0,6.288,2.758,3.959,0.3279,-0.0124,0.9489,-5.19,-0.12,208.86,0.0243,0.0921,0.9937,15.39,0.98,0.28
2.95,0.0,0.0,0.0,6.517,2.811,3.982,0.351,-0.0085,0.9477,-3.27,-0.35,200.56,0.0299,0.1042,0.9871,14.85,1.27,0.27
2.96,0.0,0.0,0.0,6.73,2.858,3.995,0.3984,-0.0087,0.9315,-2.33,0.89,187.77,0.0297,0.1209,0.9902,11.12,-0.34,-1.43
2.97,0.0,0.0,0.0,6.928,2.898,4.0,0.4217,-0.0178,0.8946,-2.46,-1.12,175.42,0.0561,0.0854,0.9917,10.77,-0.64,1.29
2.98,0.0,0.0,0.0,7.111,2.931,3.995,0.4536,-0.0201,0.9011,-2.18,-0.77,163.16,0.0072,0.1001,1.0104,9.27,-0.78,0.12
2.99,0.0,0.0,0.0,7.277,2.958,3.982,0.4761,-0.0249,0.8957,-1.66,0.07,149.05,0.0331,0.0906,1.0036,6.6,0.64,-0.2
3.0,0.0,0.0,0.0,7.427,2.979,3.959,0.4833,-0.0233,0.8743,-2.02,1.03,134.77,0.0522,0.1194,1.0034,5.25,0.23,0.43
3.01,0.0,0.0,0.0,7.56,2.992,3.928,0.5052,-0.0368,0.8702,-1.01,0.5,118.22,0.0361,0.0983,0.9977,1.94,-0.08,0.24
3.02,0.0,0.0,0.0,7.676,2.999,3.887,0.535,-0.0396,0.8693,1.38,0.25,104.68,0.0424,0.0901,0.9827,0.01,1.3,0.77
3.03,0.0,0.0,0.0,7.774,2.999,3.838,0.5477,-0.0314,0.8505,-0.65,0.08,88.38,0.0359,0.1109,0.9935,-0.74,0.4,0.54
3.04,0.0,0.0,0.0,7.855,2.992,3.78,0.5529,-0.033,0.8352,2.49,0.4,68.4,0.0282,0.1216,1.0037,-2.25,-0.84,0.72
3.05,0.0,0.0,0.0,7.919,2.979,3.713,0.5633,-0.0356,0.8371,1.14,0.2,54.05,0.0125,0.1101,0.9814,-6.75,-0.68,1.35
3.06,0.0,0.0,0.0,7.964,2.958,3.639,0.5812,-0.0238,0.8238,3.37,-1.03,34.72,0.037,0.1045,1.0005,-6.28,0.68,0.88
3.07,0.0,0.0,0.0,7.991,2.931,3.555,0.5664,-0.0208,0.8199,1.21,0.05,18.67,0.0271,0.1052,1.0175,-9.25,1.04,-0.16
3.08,0.0,0.0,0.0,8.0,2.898,3.464,0.579,-0.029,0.8153,3.76,-1.07,-0.07,0.0269,0.1136,1.0051,-10.78,0.55,-1.12
3.09,0.0,0.0,0.0,7.991,2.858,3.365,0.5703,-0.0145,0.8353,2.99,0.08,-17.78,0.0299,0.0887,1.0088,-13.77,1.9,1.67
3.1,0.0,0.0,0.0,7.964,2.811,3.258,0.5663,-0.04,0.8142,2.85,-0.48,-35.72,0.0523,0.094,0.997,-15.08,1.64,-0.24
3.11,0.0,0.0,0.0,7.919,2.758,3.144,0.5731,-0.0297,0.8421,5.01,2.54,-51.86,0.0589,0.088,1.0048,-15.02,0.44,-0.47
3.12,0.0,0.0,0.0,7.855,2.698,3.023,0.5614,-0.0341,0.8378,6.32,-0.04,-71.58,0.0371,0.0779,0.9882,-17.66,-0.84,-1.74
3.13,0.0,0.0,0.0,7.774,2.633,2.895,0.5497,-0.0446,0.8264,4.96,-1.4,-86.65,0.0303,0.0831,1.0036,-19.72,-1.31,0.34
3.14,0.0,0.0,0.0,7.676,2.562,2.76,0.5406,-0.0257,0.853,4.78,-0.13,-102.62,0.0231,0.0939,1.0025,-21.03,-0.39,0.15
3.15,0.0,0.0,0.0,7.56,2.484,2.619,0.511,-0.025,0.8384,6.64,0.52,-118.95,0.0396,0.0847,0.9992,-21.94,0.75,-1.52
3.16,0.0,0.0,0.0,7.427,2.402,2.473,0.4984,-0.0074,0.8769,7.07,1.67,-132.67,0.0527,0.0815,1.0097,-23.43,1.83,0.45
3.17,0.0,0.0,0.0,7.277,2.313,2.32,0.4667,-0.0149,0.8914,8.12,-0.59,-150.16,0.0324,0.0722,0.9915,-25.31,0.42,-0.5
3.18,0.0,0.0,0.0,7.111,2.22,2.163,0.4487,-0.0301,0.8892,8.9,-1.58,-162.55,0.0111,0.0715,0.9953,-25.42,1.17,2.69
3.19,0.0,0.0,0.0,6.928,2.121,2.0,0.4173,0.0001,0.9092,8.25,0.82,-176.66,0.0416,0.0535,0.9985,-26.74,-0.25,-0.57
3.2,0.0,0.0,0.19,6.73,2.018,1.833,0.3904,-0.0048,0.9405,10.5,-1.38,-187.47,0.0448,0.0535,0.9875,-28.4,0.62,-0.44
3.21,0.0,0.0,0.38,6.517,1.91,1.662,0.3639,-0.0096,0.9286,9.17,-0.44,-199.89,0.019,0.0534,1.0003,-29.77,0.82,-0.87
3.22,0.0,0.0,0.569,6.288,1.798,1.487,0.3161,-0.0161,0.9353,8.88,-0.26,-210.44,0.0367,0.049,0.9811,-30.08,-1.98,1.28
